"GOOG","Google Inc.",303.4B,924.69,27.67
"FB","Facebook, Inc.",63.712B,26.28,571.30
"AAPL","Apple Inc.",402.5B,427.44,10.20
"YHOO","Yahoo! Inc.",29.307B,27.34,7.93
"MSFT","Microsoft Corpora",302.7B,36.17,18.66
"LNKD","LinkedIn Corporat",21.245B,198.80,770.54
"CRM","Salesforce.com In",24.597B,41.98,N/A
